Category,Count,AnalysisType
Acq Bonus MyVoucher 6 Months 2K,1,Count by Category
Acq Hot Promo Allnet Basic 45K 16GB,1,Count by Category
Acq Hot Promo Sumatera Fortress 45K 11GB,1,Count by Category
Acq Java Weekly 20K 7.5 GB,1,Count by Category
Acq Non-Java Basic SA Telkomsel Lite 19.9K 4 GB,1,Count by Category
Acq Non-Java Hot Promo Monthly A4 Zn1 37K 8 GB,1,Count by Category
Acq Non-Java Hot Promo Monthly RF RFHD 90K 43 GB,1,Count by Category
Acq Non-Java Hot Promo Weekly RF RFHD 10.5K 2 GB,1,Count by Category
Acq Non-Java Hot Promo Weekly RF RFHD 13K 3.5 GB,1,Count by Category
Acq Non-Java SFT Rnw InternetMAX 40K 3.5 GB,1,Count by Category
Acq Non-Java SFT Rnw InternetMAX 63K 6 GB,1,Count by Category
BQSV 1-Day 0.5 GB,3,Count by Category
BQSV 3-Day 0.5 GB,1,Count by Category
BQSV 3-Day 2.5 GB,1,Count by Category
BQSV URP Revamp 3-Day (2 GB - 3.8 GB),2,Count by Category
Combo 4GB+20Mnt Tsel 7Hr,1,Count by Category
Combo HVC MAX Zn3 17GB 100Min Onnet,1,Count by Category
Core 5,1,Count by Category
Internet Sakti Bulanan 29GB,1,Count by Category
Internet Sakti Bulanan 39GB,1,Count by Category
Internet Sakti Bulanan 41GB,1,Count by Category
Internet Sakti Daily YouTube Bulanan 12GB,1,Count by Category
Internet Sakti Daily YouTube Bulanan 20GB,1,Count by Category
Internet Sakti Daily YouTube Bulanan 35GB,2,Count by Category
Internet Sakti Daily YouTube Bulanan 75GB,1,Count by Category
Internet Sakti Daily YouTube Bulanan 7GB,1,Count by Category
Internet Sakti Fortress Bulanan 11GB,1,Count by Category
Internet Sakti Fortress Bulanan 18GB,1,Count by Category
Internet Sakti Mingguan 10GB,1,Count by Category
Internet Sakti Mingguan 2GB,1,Count by Category
Internet Sakti Mingguan 3GB,1,Count by Category
Internet Sakti Mingguan 4GB,1,Count by Category
Internet Sakti Super Fortress Bulanan 36GB,1,Count by Category
Internet Sakti Super Fortress Bulanan 3GB,1,Count by Category
Java Hot Promo 3D 10K 2.5 GB,1,Count by Category
Java Hot Promo Monthly 23K 5 GB,1,Count by Category
Java Hot Promo Weekly 10K 2 GB,1,Count by Category
Java Hot Promo Weekly 17K 5 GB,1,Count by Category
"Kuota Ketengan 500MB, Kuota Apresiasi 200MB 1 Hari + Cashback GoPay",1,Count by Category
"Orbit Regular,70 GB,Rp131K,30 Days",1,Count by Category
Paket 1 Hari 2.5 GB,1,Count by Category
Paket Data Malam Weekly 10GB,1,Count by Category
Promo Sakti Daily Youtube 60GB/30hr,1,Count by Category
Spesial di Kotamu Acq Non-Java Hot Promo Weekly 5 Days 8K 1 GB,1,Count by Category
Super Seru 100K 50GB,1,Count by Category
Super Seru 100K 80GB,1,Count by Category
Super Seru 50K 25GB,1,Count by Category
Voucher Fisik 3D 6.5K-7.5K (0.5 GB - 1.5 GB),2,Count by Category
Voucher Fisik 3D 8.8K (1.5 GB - 2.0 GB),1,Count by Category
Voucher Fisik 3D 9.9K (0.5 GB - 3.0 GB),4,Count by Category
Voucher Fisik 5D 11K (0.5 GB - 3.0 GB),3,Count by Category
Voucher Fisik 5D 18K (2.3GB-4.5GB),1,Count by Category
Voucher Fisik 5D 5 GB (2.5 GB + 2.5 GB Lokal),2,Count by Category
Voucher Fisik 5D 9.9K (1 GB - 2.5 GB),7,Count by Category
Voucher Fisik 7D 23K (2.0 GB - 7.0 GB),1,Count by Category
Voucher Fisik 7D 3.5 GB (1.5 GB + 2 GB Lokal),2,Count by Category
Voucher Fisik Warchest 3D 3 GB (0.5 GB + 2.5 GB Lokal),1,Count by Category
Winback Multisim Combo 17GB+30Min/30hr,1,Count by Category
