Category,Revenue,AnalysisType
BTL,45000.0,Revenue by Region
BTL HVC,182000.0,Revenue by Region
Bonus MyVoucher Acq,0.0,Revenue by Region
HYPER COMBO,20000.0,Revenue by Region
Home Core - Orbit Regular,262000.0,Revenue by Region
Hot Promo,386500.0,Revenue by Region
Internet Sakti,1030550.0,Revenue by Region
InternetMAX,110000.0,Revenue by Region
Ketengan,19000.0,Revenue by Region
Modern Channel,50000.0,Revenue by Region
Promo Sakti,69000.0,Revenue by Region
Regular,16000.0,Revenue by Region
Super Seru,250000.0,Revenue by Region
Telkomsel Lite,19900.0,Revenue by Region
Voucher Fisik Enrich,168000.0,Revenue by Region
Voucher Fisik Revamp 2021,569800.0,Revenue by Region
Voucher Fisik Revamp 2023,360000.0,Revenue by Region
Voucher Fisik Warchest,49500.0,Revenue by Region
Weekly,20000.0,Revenue by Region
bqsv and sqsv,5600.0,Revenue by Region
bqsv sqsv,32000.0,Revenue by Region
ketengan,14500.0,Revenue by Region
omg core combo,38500.0,Revenue by Region
